char,dialog,movie,corpus_dialog
GIMLI,seventeen eighteen nineteen twenty twentyone,THE TWO TOWERS,"Counter({'seventeen': 1, 'eighteen': 1, 'nineteen': 1, 'twenty': 1, 'twentyone': 1})"
ARAGORN,causeway,THE TWO TOWERS,Counter({'causeway': 1})
THEODEN,conjure saruman,THE TWO TOWERS,"Counter({'conjure': 1, 'saruman': 1})"
ARAGORN,togo hon dad legolas,THE TWO TOWERS,"Counter({'togo': 1, 'hon': 1, 'dad': 1, 'legolas': 1})"
ARAGORN,dago hon dago hon,THE TWO TOWERS,"Counter({'dago': 2, 'hon': 2})"
THEODEN,brace gate,THE TWO TOWERS,"Counter({'brace': 1, 'gate': 1})"
THEODEN,hold stand firm,THE TWO TOWERS,"Counter({'hold': 1, 'stand': 1, 'firm': 1})"
GIMLI,aragorn,THE TWO TOWERS,Counter({'aragorn': 1})
ARAGORN,hado philinn,THE TWO TOWERS,"Counter({'hado': 1, 'philinn': 1})"
MERRY,decision,THE TWO TOWERS,Counter({'decision': 1})
MERRY,youre part world arent,THE TWO TOWERS,"Counter({'youre': 1, 'part': 1, 'world': 1, 'arent': 1})"
MERRY,must help please must something,THE TWO TOWERS,"Counter({'must': 2, 'help': 1, 'please': 1, 'something': 1})"
PIPPIN,maybe treebeards right dont belong merry big us en,THE TWO TOWERS,"Counter({'maybe': 1, 'treebeards': 1, 'right': 1, 'dont': 1, 'belong': 1, 'merry': 1, 'big': 1, 'us': 1, 'en': 1})"
MERRY,fires lsengard spreadand woods tuckborough bucklan,THE TWO TOWERS,"Counter({'fires': 1, 'lsengard': 1, 'spreadand': 1, 'woods': 1, 'tuckborough': 1, 'bucklan': 1})"
FARAMIR,good speech nice short,THE TWO TOWERS,"Counter({'good': 1, 'speech': 1, 'nice': 1, 'short': 1})"
FARAMIR,would done numbers,THE TWO TOWERS,"Counter({'would': 1, 'done': 1, 'numbers': 1})"
FARAMIR,intent,THE TWO TOWERS,Counter({'intent': 1})
FARAMIR,lf need go rivendellsend stead,THE TWO TOWERS,"Counter({'lf': 1, 'need': 1, 'go': 1, 'rivendellsend': 1, 'stead': 1})"
FARAMIR,must come,THE TWO TOWERS,"Counter({'must': 1, 'come': 1})"
FARAMIR,enter forbidden pool bears penalty death wait comm,THE TWO TOWERS,"Counter({'enter': 1, 'forbidden': 1, 'pool': 1, 'bears': 1, 'penalty': 1, 'death': 1, 'wait': 1, 'comm': 1})"
GOLLUM,rock pool nice cool juicy sweet wish catch fish ju,THE TWO TOWERS,"Counter({'rock': 1, 'pool': 1, 'nice': 1, 'cool': 1, 'juicy': 1, 'sweet': 1, 'wish': 1, 'catch': 1, 'fish': 1, 'ju': 1})"
FRODO,wait creature bound guide pleaseiet go,THE TWO TOWERS,"Counter({'wait': 1, 'creature': 1, 'bound': 1, 'guide': 1, 'pleaseiet': 1, 'go': 1})"
FRODO,smeagol master come smeagol trust master come,THE TWO TOWERS,"Counter({'smeagol': 2, 'master': 2, 'come': 2, 'trust': 1})"
GOLLUM,must go,THE TWO TOWERS,"Counter({'must': 1, 'go': 1})"
FRODO,smeagol must trust master follow come come come sm,THE TWO TOWERS,"Counter({'come': 3, 'smeagol': 1, 'must': 1, 'trust': 1, 'master': 1, 'follow': 1, 'sm': 1})"
FRODO,dont hurt smeagol dont struggle smeagol listen,THE TWO TOWERS,"Counter({'dont': 2, 'smeagol': 2, 'hurt': 1, 'struggle': 1, 'listen': 1})"
GOLLUM,master,THE TWO TOWERS,Counter({'master': 1})
FARAMIR,thats enough leading answer,THE TWO TOWERS,"Counter({'thats': 1, 'enough': 1, 'leading': 1, 'answer': 1})"
GOLLUM,smeagol cry smeagol,THE TWO TOWERS,"Counter({'smeagol': 2, 'cry': 1})"
GOLLUM,course told tricksy told false,THE TWO TOWERS,"Counter({'told': 2, 'course': 1, 'tricksy': 1, 'false': 1})"
GOLLUM,master betrayed us,THE TWO TOWERS,"Counter({'master': 1, 'betrayed': 1, 'us': 1})"
GOLLUM,filthy little hobbitses stole us,THE TWO TOWERS,"Counter({'filthy': 1, 'little': 1, 'hobbitses': 1, 'stole': 1, 'us': 1})"
FARAMIR,whos covering river north,THE TWO TOWERS,"Counter({'whos': 1, 'covering': 1, 'river': 1, 'north': 1})"
GOLLUM,precious,THE TWO TOWERS,Counter({'precious': 1})
SAM,get go go use ring mr frodo put disappear,THE TWO TOWERS,"Counter({'go': 2, 'get': 1, 'use': 1, 'ring': 1, 'mr': 1, 'frodo': 1, 'put': 1, 'disappear': 1})"
FRODO,cant right sam tried tell im sorry rings taking sa,THE TWO TOWERS,"Counter({'cant': 1, 'right': 1, 'sam': 1, 'tried': 1, 'tell': 1, 'im': 1, 'sorry': 1, 'rings': 1, 'taking': 1, 'sa': 1})"
SAM,mr frodo,THE TWO TOWERS,"Counter({'mr': 1, 'frodo': 1})"
FARAMIR,answer riddles wild youtwo halflingsand host men c,THE TWO TOWERS,"Counter({'answer': 1, 'riddles': 1, 'wild': 1, 'youtwo': 1, 'halflingsand': 1, 'host': 1, 'men': 1, 'c': 1})"
SAM,stop leave alone dont understand hes got destroy t,THE TWO TOWERS,"Counter({'stop': 1, 'leave': 1, 'alone': 1, 'dont': 1, 'understand': 1, 'hes': 1, 'got': 1, 'destroy': 1, 't': 1})"
SAM,please burden help,THE TWO TOWERS,"Counter({'please': 1, 'burden': 1, 'help': 1})"
FARAMIR,prepare leave ring go gondor,THE TWO TOWERS,"Counter({'prepare': 1, 'leave': 1, 'ring': 1, 'go': 1, 'gondor': 1})"
ARAGORN,mae carnen brego mellon nn,THE TWO TOWERS,"Counter({'mae': 1, 'carnen': 1, 'brego': 1, 'mellon': 1, 'nn': 1})"
FARAMIR,saruman attacks lsengard sauron mordor fight come ,THE TWO TOWERS,"Counter({'saruman': 1, 'attacks': 1, 'lsengard': 1, 'sauron': 1, 'mordor': 1, 'fight': 1, 'come': 1})"
FARAMIR,men tell orc spies,THE TWO TOWERS,"Counter({'men': 1, 'tell': 1, 'orc': 1, 'spies': 1})"
SAM,spies wait minute,THE TWO TOWERS,"Counter({'spies': 1, 'wait': 1, 'minute': 1})"
FARAMIR,well youre spies,THE TWO TOWERS,"Counter({'well': 1, 'youre': 1, 'spies': 1})"
FRODO,hobbits shire frodo baggins name samwise gamgee,THE TWO TOWERS,"Counter({'hobbits': 1, 'shire': 1, 'frodo': 1, 'baggins': 1, 'name': 1, 'samwise': 1, 'gamgee': 1})"
FARAMIR,bodyguard,THE TWO TOWERS,Counter({'bodyguard': 1})
SAM,gardener,THE TWO TOWERS,Counter({'gardener': 1})
FARAMIR,skulking friend gangrel creature illfavored look,THE TWO TOWERS,"Counter({'skulking': 1, 'friend': 1, 'gangrel': 1, 'creature': 1, 'illfavored': 1, 'look': 1})"
FRODO,set rivendell seven companions one lost moriatwo k,THE TWO TOWERS,"Counter({'set': 1, 'rivendell': 1, 'seven': 1, 'companions': 1, 'one': 1, 'lost': 1, 'moriatwo': 1, 'k': 1})"
FARAMIR,youre friend boromir,THE TWO TOWERS,"Counter({'youre': 1, 'friend': 1, 'boromir': 1})"
FRODO,yes part,THE TWO TOWERS,"Counter({'yes': 1, 'part': 1})"
GIMLI,get way im going kill luckiest canniest reckless m,THE TWO TOWERS,"Counter({'get': 1, 'way': 1, 'im': 1, 'going': 1, 'kill': 1, 'luckiest': 1, 'canniest': 1, 'reckless': 1, 'm': 1})"
ARAGORN,gimli king,THE TWO TOWERS,"Counter({'gimli': 1, 'king': 1})"
ARAGORN,hannon le,THE TWO TOWERS,"Counter({'hannon': 1, 'le': 1})"
THEODEN,great host say,THE TWO TOWERS,"Counter({'great': 1, 'host': 1, 'say': 1})"
ARAGORN,lsengard emptied,THE TWO TOWERS,"Counter({'lsengard': 1, 'emptied': 1})"
ARAGORN,ten thousand strong least,THE TWO TOWERS,"Counter({'ten': 1, 'thousand': 1, 'strong': 1, 'least': 1})"
THEODEN,ten thousand,THE TWO TOWERS,"Counter({'ten': 1, 'thousand': 1})"
ARAGORN,army bred single purpose destroy world men nightfa,THE TWO TOWERS,"Counter({'army': 1, 'bred': 1, 'single': 1, 'purpose': 1, 'destroy': 1, 'world': 1, 'men': 1, 'nightfa': 1})"
THEODEN,let come,THE TWO TOWERS,"Counter({'let': 1, 'come': 1})"
THEODEN,want every man strong lad able bear armsto ready b,THE TWO TOWERS,"Counter({'want': 1, 'every': 1, 'man': 1, 'strong': 1, 'lad': 1, 'able': 1, 'bear': 1, 'armsto': 1, 'ready': 1, 'b': 1})"
THEODEN,cover causeway gate army ever breached deeping wal,THE TWO TOWERS,"Counter({'cover': 1, 'causeway': 1, 'gate': 1, 'army': 1, 'ever': 1, 'breached': 1, 'deeping': 1, 'wal': 1})"
FARAMIR,grieve learn dead,THE TWO TOWERS,"Counter({'grieve': 1, 'learn': 1, 'dead': 1})"
FARAMIR,one companions id hoped would tell,THE TWO TOWERS,"Counter({'one': 1, 'companions': 1, 'id': 1, 'hoped': 1, 'would': 1, 'tell': 1})"
FRODO,something happened boromir would tell us,THE TWO TOWERS,"Counter({'something': 1, 'happened': 1, 'boromir': 1, 'would': 1, 'tell': 1, 'us': 1})"
FARAMIR,horn washed upon riverbank six days past cloven tw,THE TWO TOWERS,"Counter({'horn': 1, 'washed': 1, 'upon': 1, 'riverbank': 1, 'six': 1, 'days': 1, 'past': 1, 'cloven': 1, 'tw': 1})"
GIMLI,rabble mindless orcs urukhai armour thick shields ,THE TWO TOWERS,"Counter({'rabble': 1, 'mindless': 1, 'orcs': 1, 'urukhai': 1, 'armour': 1, 'thick': 1, 'shields': 1})"
THEODEN,fought many wars master dwarf know defend keep,THE TWO TOWERS,"Counter({'fought': 1, 'many': 1, 'wars': 1, 'master': 1, 'dwarf': 1, 'know': 1, 'defend': 1, 'keep': 1})"
THEODEN,break upon fortress like water rock sarumans horde,THE TWO TOWERS,"Counter({'break': 1, 'upon': 1, 'fortress': 1, 'like': 1, 'water': 1, 'rock': 1, 'sarumans': 1, 'horde': 1})"
ARAGORN,come destroy rohans crops villages come destroy pe,THE TWO TOWERS,"Counter({'come': 2, 'destroy': 2, 'rohans': 1, 'crops': 1, 'villages': 1, 'pe': 1})"
THEODEN,would look men courage hangs thread end would make,THE TWO TOWERS,"Counter({'would': 2, 'look': 1, 'men': 1, 'courage': 1, 'hangs': 1, 'thread': 1, 'end': 1, 'make': 1})"
ARAGORN,send riders lord must call aid,THE TWO TOWERS,"Counter({'send': 1, 'riders': 1, 'lord': 1, 'must': 1, 'call': 1, 'aid': 1})"
THEODEN,come elves dwarves lucky friends old alliances dea,THE TWO TOWERS,"Counter({'come': 1, 'elves': 1, 'dwarves': 1, 'lucky': 1, 'friends': 1, 'old': 1, 'alliances': 1, 'dea': 1})"
ARAGORN,gondor answer,THE TWO TOWERS,"Counter({'gondor': 1, 'answer': 1})"
THEODEN,gondor gondor westfold fell gondor enemies closed ,THE TWO TOWERS,"Counter({'gondor': 3, 'westfold': 1, 'fell': 1, 'enemies': 1, 'closed': 1})"
ARAGORN,asleep dream,THE TWO TOWERS,"Counter({'asleep': 1, 'dream': 1})"
ARAGORN,minl pendich nin aur hen telitha,THE TWO TOWERS,"Counter({'minl': 1, 'pendich': 1, 'nin': 1, 'aur': 1, 'hen': 1, 'telitha': 1})"
GOLLUM,wants itwe needs itmust preciousthey stole ussneak,THE TWO TOWERS,"Counter({'wants': 1, 'itwe': 1, 'needs': 1, 'itmust': 1, 'preciousthey': 1, 'stole': 1, 'ussneak': 1})"
GOLLUM,yes precious falsethey cheat hurt lie,THE TWO TOWERS,"Counter({'yes': 1, 'precious': 1, 'falsethey': 1, 'cheat': 1, 'hurt': 1, 'lie': 1})"
GOLLUM,dont friendsnobody likes,THE TWO TOWERS,"Counter({'dont': 1, 'friendsnobody': 1, 'likes': 1})"
GOLLUM,youre liar thief,THE TWO TOWERS,"Counter({'youre': 1, 'liar': 1, 'thief': 1})"
THEODEN,time war upon us secure gate,THE TWO TOWERS,"Counter({'time': 1, 'war': 1, 'upon': 1, 'us': 1, 'secure': 1, 'gate': 1})"
MERRY,gathering,THE TWO TOWERS,Counter({'gathering': 1})
ARAGORN,dolen vd nin,THE TWO TOWERS,"Counter({'dolen': 1, 'vd': 1, 'nin': 1})"
ARAGORN,never memory,THE TWO TOWERS,"Counter({'never': 1, 'memory': 1})"
ARAGORN,stays still hope,THE TWO TOWERS,"Counter({'stays': 1, 'still': 1, 'hope': 1})"
GOLLUM,murderer,THE TWO TOWERS,Counter({'murderer': 1})
GOLLUM,go away,THE TWO TOWERS,"Counter({'go': 1, 'away': 1})"
GOLLUM,would without megollum gollumi saved usit survived,THE TWO TOWERS,"Counter({'would': 1, 'without': 1, 'megollum': 1, 'gollumi': 1, 'saved': 1, 'usit': 1, 'survived': 1})"
THEODEN,ready gamlingbring horse,THE TWO TOWERS,"Counter({'ready': 1, 'gamlingbring': 1, 'horse': 1})"
THEODEN,defeat return return,THE TWO TOWERS,"Counter({'return': 2, 'defeat': 1})"
ARAGORN,ethelithon,THE TWO TOWERS,Counter({'ethelithon': 1})
ARAGORN,bedin gurth ne dagor,THE TWO TOWERS,"Counter({'bedin': 1, 'gurth': 1, 'ne': 1, 'dagor': 1})"
ARAGORN,edra le men men na guil edwen haer auth nr naeth,THE TWO TOWERS,"Counter({'men': 2, 'edra': 1, 'le': 1, 'na': 1, 'guil': 1, 'edwen': 1, 'haer': 1, 'auth': 1, 'nr': 1, 'naeth': 1})"
ARAGORN,mortal elfkindit dream arwennothing,THE TWO TOWERS,"Counter({'mortal': 1, 'elfkindit': 1, 'dream': 1, 'arwennothing': 1})"
ARAGORN,belongs,THE TWO TOWERS,Counter({'belongs': 1})
ARAGORN,sailing undying landswith left kin,THE TWO TOWERS,"Counter({'sailing': 1, 'undying': 1, 'landswith': 1, 'left': 1, 'kin': 1})"
GOLLUM,looklook see smeagol finds,THE TWO TOWERS,"Counter({'looklook': 1, 'see': 1, 'smeagol': 1, 'finds': 1})"
GOLLUM,youngthey tender niceyes eat eat,THE TWO TOWERS,"Counter({'eat': 2, 'youngthey': 1, 'tender': 1, 'niceyes': 1})"
SAM,youll make sick willbehaving like theres one way e,THE TWO TOWERS,"Counter({'youll': 1, 'make': 1, 'sick': 1, 'willbehaving': 1, 'like': 1, 'theres': 1, 'one': 1, 'way': 1, 'e': 1})"
GOLLUM,whats doingstupid fat hobbitit ruins,THE TWO TOWERS,"Counter({'whats': 1, 'doingstupid': 1, 'fat': 1, 'hobbitit': 1, 'ruins': 1})"
SAM,whats ruin theres hardly meaton,THE TWO TOWERS,"Counter({'whats': 1, 'ruin': 1, 'theres': 1, 'hardly': 1, 'meaton': 1})"
SAM,need good taters,THE TWO TOWERS,"Counter({'need': 1, 'good': 1, 'taters': 1})"
GOLLUM,whats taters preciouswhats taters eh,THE TWO TOWERS,"Counter({'taters': 2, 'whats': 1, 'preciouswhats': 1, 'eh': 1})"
SAM,potatoes,THE TWO TOWERS,Counter({'potatoes': 1})
SAM,boil mash themstick stewlovely big golden chipswit,THE TWO TOWERS,"Counter({'boil': 1, 'mash': 1, 'themstick': 1, 'stewlovely': 1, 'big': 1, 'golden': 1, 'chipswit': 1})"
SAM,even couldnt say,THE TWO TOWERS,"Counter({'even': 1, 'couldnt': 1, 'say': 1})"
GOLLUM,oh yes couldspoil nice fish give us raw wrigglingy,THE TWO TOWERS,"Counter({'oh': 1, 'yes': 1, 'couldspoil': 1, 'nice': 1, 'fish': 1, 'give': 1, 'us': 1, 'raw': 1, 'wrigglingy': 1})"
SAM,youre hopeless,THE TWO TOWERS,"Counter({'youre': 1, 'hopeless': 1})"
SAM,mr frodo,THE TWO TOWERS,"Counter({'mr': 1, 'frodo': 1})"
ARAGORN,skill blade,THE TWO TOWERS,"Counter({'skill': 1, 'blade': 1})"
ARAGORN,fear lady,THE TWO TOWERS,"Counter({'fear': 1, 'lady': 1})"
ARAGORN,youre daughter kingsa shieldmaiden rohani think wo,THE TWO TOWERS,"Counter({'youre': 1, 'daughter': 1, 'kingsa': 1, 'shieldmaiden': 1, 'rohani': 1, 'think': 1, 'wo': 1})"
SAM,hey stinker dont go gettingtoo far ahead,THE TWO TOWERS,"Counter({'hey': 1, 'stinker': 1, 'dont': 1, 'go': 1, 'gettingtoo': 1, 'far': 1, 'ahead': 1})"
FRODO,call namesrun time,THE TWO TOWERS,"Counter({'call': 1, 'namesrun': 1, 'time': 1})"
SAM,becausebecause thats mr frodotheres naught left hi,THE TWO TOWERS,"Counter({'becausebecause': 1, 'thats': 1, 'mr': 1, 'frodotheres': 1, 'naught': 1, 'left': 1, 'hi': 1})"
FRODO,idea himwhat still want help sam,THE TWO TOWERS,"Counter({'idea': 1, 'himwhat': 1, 'still': 1, 'want': 1, 'help': 1, 'sam': 1})"
ARAGORN,warg attack,THE TWO TOWERS,"Counter({'warg': 1, 'attack': 1})"
THEODEN,riders head column,THE TWO TOWERS,"Counter({'riders': 1, 'head': 1, 'column': 1})"
GIMLI,come get im ridercome,THE TWO TOWERS,"Counter({'come': 1, 'get': 1, 'im': 1, 'ridercome': 1})"
THEODEN,must lead peopleto helms deep make haste,THE TWO TOWERS,"Counter({'must': 1, 'lead': 1, 'peopleto': 1, 'helms': 1, 'deep': 1, 'make': 1, 'haste': 1})"
THEODEN,noyou must,THE TWO TOWERS,"Counter({'noyou': 1, 'must': 1})"
THEODEN,follow,THE TWO TOWERS,Counter({'follow': 1})
GIMLI,forward mean charge forward,THE TWO TOWERS,"Counter({'forward': 2, 'mean': 1, 'charge': 1})"
GIMLI,thats go,THE TWO TOWERS,"Counter({'thats': 1, 'go': 1})"
GIMLI,bring pretty face axe,THE TWO TOWERS,"Counter({'bring': 1, 'pretty': 1, 'face': 1, 'axe': 1})"
GOLLUM,wicked menservants sauronthey called mordorthe dar,THE TWO TOWERS,"Counter({'wicked': 1, 'menservants': 1, 'sauronthey': 1, 'called': 1, 'mordorthe': 1, 'dar': 1})"
GOLLUM,make warthe last war coverall world shadow,THE TWO TOWERS,"Counter({'make': 1, 'warthe': 1, 'last': 1, 'war': 1, 'coverall': 1, 'world': 1, 'shadow': 1})"
FRODO,weve got get moving come sam,THE TWO TOWERS,"Counter({'weve': 1, 'got': 1, 'get': 1, 'moving': 1, 'come': 1, 'sam': 1})"
SAM,mr frodolookits oliphaunt,THE TWO TOWERS,"Counter({'mr': 1, 'frodolookits': 1, 'oliphaunt': 1})"
SAM,one home believe,THE TWO TOWERS,"Counter({'one': 1, 'home': 1, 'believe': 1})"
FRODO,smeagol,THE TWO TOWERS,Counter({'smeagol': 1})
FRODO,weve lingered longcome sam,THE TWO TOWERS,"Counter({'weve': 1, 'lingered': 1, 'longcome': 1, 'sam': 1})"
SAM,wait innocent travelers,THE TWO TOWERS,"Counter({'wait': 1, 'innocent': 1, 'travelers': 1})"
FARAMIR,travelers landonly servants dark tower,THE TWO TOWERS,"Counter({'travelers': 1, 'landonly': 1, 'servants': 1, 'dark': 1, 'tower': 1})"
FRODO,bound errand secrecythose claim oppose enemywould ,THE TWO TOWERS,"Counter({'bound': 1, 'errand': 1, 'secrecythose': 1, 'claim': 1, 'oppose': 1, 'enemywould': 1})"
FARAMIR,enemy sense duty lessthan deem wonder name iswhere,THE TWO TOWERS,"Counter({'enemy': 1, 'sense': 1, 'duty': 1, 'lessthan': 1, 'deem': 1, 'wonder': 1, 'name': 1, 'iswhere': 1})"
GIMLI,true dont seemany dwarf womenand fact alikein voic,THE TWO TOWERS,"Counter({'true': 1, 'dont': 1, 'seemany': 1, 'dwarf': 1, 'womenand': 1, 'fact': 1, 'alikein': 1, 'voic': 1})"
FRODO,believehe come back,THE TWO TOWERS,"Counter({'believehe': 1, 'come': 1, 'back': 1})"
SAM,cant save mr frodo,THE TWO TOWERS,"Counter({'cant': 1, 'save': 1, 'mr': 1, 'frodo': 1})"
FRODO,know itnothing im sorry sam dont knowwhy said,THE TWO TOWERS,"Counter({'know': 1, 'itnothing': 1, 'im': 1, 'sorry': 1, 'sam': 1, 'dont': 1, 'knowwhy': 1, 'said': 1})"
SAM,ringyou cant take eyes itive seen youyoure eating ,THE TWO TOWERS,"Counter({'ringyou': 1, 'cant': 1, 'take': 1, 'eyes': 1, 'itive': 1, 'seen': 1, 'youyoure': 1, 'eating': 1})"
FRODO,know samthe ring entrusted meits taskmine,THE TWO TOWERS,"Counter({'know': 1, 'samthe': 1, 'ring': 1, 'entrusted': 1, 'meits': 1, 'taskmine': 1})"
SAM,cant hear yourselfdont know sound like,THE TWO TOWERS,"Counter({'cant': 1, 'hear': 1, 'yourselfdont': 1, 'know': 1, 'sound': 1, 'like': 1})"
GIMLI,one counts mine stinking creature,THE TWO TOWERS,"Counter({'one': 1, 'counts': 1, 'mine': 1, 'stinking': 1, 'creature': 1})"
GIMLI,aragorn,THE TWO TOWERS,Counter({'aragorn': 1})
GIMLI,tell happenedand ease passing,THE TWO TOWERS,"Counter({'tell': 1, 'happenedand': 1, 'ease': 1, 'passing': 1})"
THEODEN,get wounded horsesthe wolves lsengard returnleave ,THE TWO TOWERS,"Counter({'get': 1, 'wounded': 1, 'horsesthe': 1, 'wolves': 1, 'lsengard': 1, 'returnleave': 1})"
THEODEN,simbelmyne ever grown tombs forebearers shall cove,THE TWO TOWERS,"Counter({'simbelmyne': 1, 'ever': 1, 'grown': 1, 'tombs': 1, 'forebearers': 1, 'shall': 1, 'cove': 1})"
GANDALF,theodreds death making,THE TWO TOWERS,"Counter({'theodreds': 1, 'death': 1, 'making': 1})"
THEODEN,parent bury child,THE TWO TOWERS,"Counter({'parent': 1, 'bury': 1, 'child': 1})"
GANDALF,strong life spirit find way halls fathers westu hl,THE TWO TOWERS,"Counter({'strong': 1, 'life': 1, 'spirit': 1, 'find': 1, 'way': 1, 'halls': 1, 'fathers': 1, 'westu': 1, 'hl': 1})"
ARAGORN,pull back pull back,THE RETURN OF THE KING,"Counter({'pull': 2, 'back': 2})"
SAM,gone mr frodo lights passed away towards north som,THE RETURN OF THE KING,"Counter({'gone': 1, 'mr': 1, 'frodo': 1, 'lights': 1, 'passed': 1, 'away': 1, 'towards': 1, 'north': 1, 'som': 1})"
ARAGORN,hold ground hold ground,THE RETURN OF THE KING,"Counter({'hold': 2, 'ground': 2})"
ARAGORN,sons gondor rohan brothers listen see eyes fear wo,THE RETURN OF THE KING,"Counter({'sons': 1, 'gondor': 1, 'rohan': 1, 'brothers': 1, 'listen': 1, 'see': 1, 'eyes': 1, 'fear': 1, 'wo': 1})"
ARAGORN,hold dear good earth bid stand men west,THE RETURN OF THE KING,"Counter({'hold': 1, 'dear': 1, 'good': 1, 'earth': 1, 'bid': 1, 'stand': 1, 'men': 1, 'west': 1})"
GIMLI,never thought id die fighting side side elf,THE RETURN OF THE KING,"Counter({'side': 2, 'never': 1, 'thought': 1, 'id': 1, 'die': 1, 'fighting': 1, 'elf': 1})"
GANDALF,veiling shadow glowers east takes shapesauron suff,THE TWO TOWERS,"Counter({'veiling': 1, 'shadow': 1, 'glowers': 1, 'east': 1, 'takes': 1, 'shapesauron': 1, 'suff': 1})"
ARAGORN,beards,THE TWO TOWERS,Counter({'beards': 1})
GIMLI,turn given riseto beliefthat dwarf womenand dwarve,THE TWO TOWERS,"Counter({'turn': 1, 'given': 1, 'riseto': 1, 'beliefthat': 1, 'dwarf': 1, 'womenand': 1, 'dwarve': 1})"
GIMLI,course ridiculous,THE TWO TOWERS,"Counter({'course': 1, 'ridiculous': 1})"
GIMLI,right nobody panicthat deliberateit deliberate,THE TWO TOWERS,"Counter({'right': 1, 'nobody': 1, 'panicthat': 1, 'deliberateit': 1, 'deliberate': 1})"
THEODEN,havent seen niece smilefor long timeshe girl broug,THE TWO TOWERS,"Counter({'havent': 1, 'seen': 1, 'niece': 1, 'smilefor': 1, 'long': 1, 'timeshe': 1, 'girl': 1, 'broug': 1})"
THEODEN,left aloneto tend king growing feardoomed wait upo,THE TWO TOWERS,"Counter({'left': 1, 'aloneto': 1, 'tend': 1, 'king': 1, 'growing': 1, 'feardoomed': 1, 'wait': 1, 'upo': 1})"
GIMLI,couldnti really couldnt,THE TWO TOWERS,"Counter({'couldnti': 1, 'really': 1, 'couldnt': 1})"
THEODEN,people safewe paid many lives,THE TWO TOWERS,"Counter({'people': 1, 'safewe': 1, 'paid': 1, 'many': 1, 'lives': 1})"
THEODEN,draw forces behind wallbar gateand set watch surro,THE TWO TOWERS,"Counter({'draw': 1, 'forces': 1, 'behind': 1, 'wallbar': 1, 'gateand': 1, 'set': 1, 'watch': 1, 'surro': 1})"
THEODEN,get caves sarumans arm grown long indeed thinks re,THE TWO TOWERS,"Counter({'get': 1, 'caves': 1, 'sarumans': 1, 'arm': 1, 'grown': 1, 'long': 1, 'indeed': 1, 'thinks': 1, 're': 1})"
GANDALF,taste terror saruman unleash potent driven fear sa,THE TWO TOWERS,"Counter({'taste': 1, 'terror': 1, 'saruman': 1, 'unleash': 1, 'potent': 1, 'driven': 1, 'fear': 1, 'sa': 1})"
ARAGORN,2000 good men riding north speak eomer loyal men r,THE TWO TOWERS,"Counter({'men': 2, '2000': 1, 'good': 1, 'riding': 1, 'north': 1, 'speak': 1, 'eomer': 1, 'loyal': 1, 'r': 1})"
THEODEN,300 leagues eomer cannot help us know want mebut b,THE TWO TOWERS,"Counter({'300': 1, 'leagues': 1, 'eomer': 1, 'cannot': 1, 'help': 1, 'us': 1, 'know': 1, 'want': 1, 'mebut': 1, 'b': 1})"
ARAGORN,open war upon whether would risk,THE TWO TOWERS,"Counter({'open': 1, 'war': 1, 'upon': 1, 'whether': 1, 'would': 1, 'risk': 1})"
THEODEN,last lookedtheoden aragorn king rohan,THE TWO TOWERS,"Counter({'last': 1, 'lookedtheoden': 1, 'aragorn': 1, 'king': 1, 'rohan': 1})"
GANDALF,helms deep,THE TWO TOWERS,"Counter({'helms': 1, 'deep': 1})"
GIMLI,flee mountains stand fight defend king,THE TWO TOWERS,"Counter({'flee': 1, 'mountains': 1, 'stand': 1, 'fight': 1, 'defend': 1, 'king': 1})"
ARAGORN,hes thinks best people helms deep saved past,THE TWO TOWERS,"Counter({'hes': 1, 'thinks': 1, 'best': 1, 'people': 1, 'helms': 1, 'deep': 1, 'saved': 1, 'past': 1})"
GANDALF,way ravine theoden walking trap thinks hes leading,THE TWO TOWERS,"Counter({'way': 1, 'ravine': 1, 'theoden': 1, 'walking': 1, 'trap': 1, 'thinks': 1, 'hes': 1, 'leading': 1})"
GIMLI,aye could,THE RETURN OF THE KING,"Counter({'aye': 1, 'could': 1})"
SAM,remember shire mr frodo spring soon orchards bloss,THE RETURN OF THE KING,"Counter({'remember': 1, 'shire': 1, 'mr': 1, 'frodo': 1, 'spring': 1, 'soon': 1, 'orchards': 1, 'bloss': 1})"
FRODO,sam cant recall taste food sound water touch grass,THE RETURN OF THE KING,"Counter({'sam': 1, 'cant': 1, 'recall': 1, 'taste': 1, 'food': 1, 'sound': 1, 'water': 1, 'touch': 1, 'grass': 1})"
SAM,let us rid come mr frodo cant carry carry come,THE RETURN OF THE KING,"Counter({'come': 2, 'carry': 2, 'let': 1, 'us': 1, 'rid': 1, 'mr': 1, 'frodo': 1, 'cant': 1})"
SAM,look mr frodo doorway almost,THE RETURN OF THE KING,"Counter({'look': 1, 'mr': 1, 'frodo': 1, 'doorway': 1, 'almost': 1})"
GOLLUM,clever hobbits climb high mustnt go way mustnt hur,THE RETURN OF THE KING,"Counter({'mustnt': 2, 'clever': 1, 'hobbits': 1, 'climb': 1, 'high': 1, 'go': 1, 'way': 1, 'hur': 1})"
FRODO,swore swore precious,THE RETURN OF THE KING,"Counter({'swore': 2, 'precious': 1})"
