Character,Sentence,,,,,
ARAGOG,Hagrid never opened the Chamber of Secrets.,,,,,
HARRY,Then you're not the monster?,,,,,
ARAGOG,No.,,,,,
ARAGOG,The monster was born in the castle.,,,,,
ARAGOG,I came to Hagrid from a distant land in the pocket of a traveler.,,,,,
RON,Harry.,,,,,
HARRY,But if you're not the monster,,,,,
ARAGOG,We do not speak of it.,,,,,
ARAGOG,It is an ancient creature we spiders fear above all others.,,,,,
HARRY,But have you seen it?,,,,,
ARAGOG,I never saw any part of the castle but the box in which Hagrid kept me.,,,,,
ARAGOG,The girl was discovered in a bathroom.,,,,,
ARAGOG,When I was accused,,,,,
RON,Harry!,,,,,
HARRY,What?,,,,,
HARRY,Well,,,,,
HARRY,We'll just go.,,,,,
ARAGOG,Go?,,,,,
ARAGOG,I think not.,,,,,
ARAGOG,My sons and daughters do not harm Hagrid on my command.,,,,,
ARAGOG,But I cannot deny them fresh meat when it wanders so willingly into our midst.,,,,,
ARAGOG,Goodbye,,,,,
RON,Can we panic now?,,,,,
RON,Know any spells?,,,,,
HARRY,One,,,,,
RON,Where's Hermione when you need her?,,,,,
HARRY,Let's go!,,,,,
HARRY,Arania Exumai!,,,,,
HARRY,Go!,,,,,
RON,Glad we're out of there.,,,,,
HARRY,Arania Exumai!,,,,,
RON,Thanks for that.,,,,,
HARRY,Don't mention it.,,,,,
HARRY,Get us out of here.,,,,,
HARRY,Now!,,,,,
HARRY,Come on!,,,,,
HARRY,Come on,,,,,
HARRY,Come on! Go!,,,,,
HARRY,Get us in the air.,,,,,
RON,The flying gear's jammed!,,,,,
HARRY,Come on! Pull!,,,,,
RON,I'm trying!,,,,,
RON,Follow the spiders!,,,,,
RON,Follow the spiders.,,,,,
RON,If Hagrid ever gets out of Azkaban,,,,,
RON,I mean,,,,,
RON,What have we found out?,,,,,
HARRY,We know one thing.,,,,,
HARRY,Hagrid never opened the Chamber of Secrets.,,,,,
HARRY,He was innocent.,,,,,
HARRY,Wish you were here,,,,,
HARRY,We need you.,,,,,
HARRY,Now more than ever.,,,,,
RON,What's that?,,,,,
HARRY,Ron...,,,,,
HARRY,This is why Hermione was in the library the day she was attacked.,,,,,
HARRY,Come on.,,,,,
HARRY,Of the many fearsome beasts that roam our land none is more deadly than the basilisk.,,,,,
,,,,,,
